Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
29-Oct-16,13:39,14:12,East Putney to Northfields,1.5,0,,
28-Oct-16,19:46,20:20,Northfields to East Putney,,0,,
28-Oct-16,16:36,17:30,Stepney Green to Northfields,,0,,
28-Oct-16,09:06,10:01,Northfields to Stepney Green,7.5,0,,
27-Oct-16,22:11,22:54,Oxford Circus to Northfields,,0,,
27-Oct-16,17:09,17:27,Mile End to Oxford Circus,,0,,
27-Oct-16,09:04,10:03,Northfields to Stepney Green,7.5,0,,
26-Oct-16,18:25,18:34,Same Station exit within 30 minutes Northfields,0,0,,
26-Oct-16,16:27,17:33,Stepney Green to Northfields,3.3,0,,
26-Oct-16,08:50,09:54,Northfields to Stepney Green,3.3,0,,
25-Oct-16,23:00,23:33,Gloucester Road to Northfields,0,0,,
25-Oct-16,18:20,18:46,Northfields to Gloucester Road,0,0,,
25-Oct-16,16:12,17:08,Stepney Green to Northfields,,0,,
25-Oct-16,08:45,09:45,Northfields to Stepney Green,7.5,0,,
24-Oct-16,21:53,22:36,Covent Garden to Northfields,7.5,0,,
24-Oct-16,18:41,19:17,Northfields to Covent Garden,,0,,
24-Oct-16,16:19,17:12,Stepney Green to Northfields,,0,,
24-Oct-16,08:42,09:37,Northfields to Stepney Green,,0,,
23-Oct-16,13:52,14:19,Putney Bridge to Northfields,1.5,0,,
22-Oct-16,18:12,,"Bus journey, route 265",0,0,,
22-Oct-16,14:42,,"Bus journey, route 430",0,0,,
22-Oct-16,13:58,14:33,Northfields to East Putney,1.5,0,,
21-Oct-16,16:19,17:04,Mile End to Ealing Broadway,3.3,0,,
21-Oct-16,08:58,09:42,Ealing Broadway to Mile End,3.3,0,,
20-Oct-16,16:14,17:10,Stepney Green to Northfields,3.3,0,,
20-Oct-16,08:50,09:50,East Putney to Stepney Green,3.3,0,,
19-Oct-16,19:59,20:44,Northfields to East Putney,,0,,
19-Oct-16,15:28,16:15,Barbican to Ealing Broadway,,0,,
19-Oct-16,12:54,13:15,Stepney Green to Barbican,,0,,
19-Oct-16,08:58,09:42,Ealing Broadway to Mile End,7.5,0,,
18-Oct-16,22:53,23:21,Gloucester Road to Northfields,,0,,
18-Oct-16,18:14,18:37,Northfields to Gloucester Road,,0,,
18-Oct-16,16:25,17:13,Mile End to Ealing Broadway,,0,,
18-Oct-16,09:29,10:17,Ealing Broadway to Mile End,7.5,0,,
17-Oct-16,16:28,17:14,Mile End to Ealing Broadway,3.3,0,,
17-Oct-16,07:54,08:59,Ealing Broadway to Stepney Green,3.3,0,,
16-Oct-16,13:45,14:13,East Putney to Northfields,1.5,0,,
15-Oct-16,18:15,19:18,Colindale to East Putney,1.5,0,,
15-Oct-16,14:23,,"Topped up, Colindale",0,10,,
15-Oct-16,13:01,14:12,Northfields to Colindale,,0,,
11-Oct-16,18:02,18:49,Mile End to Ealing Broadway,,0,,
11-Oct-16,11:35,11:51,Holborn to Mile End,,0,,
11-Oct-16,10:08,10:45,Ealing Broadway to Holborn,7.5,0,,
09-Oct-16,18:31,19:13,Covent Garden to Northfields,2.8,0,,
09-Oct-16,16:56,17:31,Northfields to Covent Garden,2.8,0,,
08-Oct-16,20:16,20:51,Piccadilly Circus to Northfields,,0,,
08-Oct-16,14:22,14:33,"Kings Cross (Met, Circle, H&C lines) to Barbican",,0,,
08-Oct-16,13:11,13:57,Northfields to Euston [London Underground],,0,,
08-Oct-16,10:12,10:48,East Putney to Northfields,7.5,0,,
07-Oct-16,19:34,20:16,Northfields to East Putney,0,0,,
07-Oct-16,16:53,17:39,Mile End to Ealing Broadway,0,0,,
07-Oct-16,09:22,10:11,Ealing Broadway to Mile End,7.5,0,,
06-Oct-16,16:43,17:28,Mile End to Ealing Broadway,3.3,0,,
06-Oct-16,08:50,09:37,Ealing Broadway to Mile End,3.3,0,,
05-Oct-16,15:48,16:31,Mile End to Ealing Broadway,3.3,0,,
05-Oct-16,08:44,09:28,Ealing Broadway to Mile End,3.3,0,,
04-Oct-16,20:02,20:48,Piccadilly Circus to Ealing Broadway,,0,,
04-Oct-16,17:33,17:55,Stepney Green to Embankment,,0,,
04-Oct-16,08:53,09:41,Ealing Broadway to Mile End,7.5,0,,
03-Oct-16,17:52,18:36,Mile End to Ealing Broadway,3.3,0,,
03-Oct-16,17:51,,"Season ticket bought, Mile End",0,0,,
